ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1246,1739358853656,0.24915,-1.3017,8.8334,1.75471,-9.5212,5.20309
Abj,1247,1739358853670,0.3999,-3.37867,7.71715,11.26828,3.96717,4.40966
Abj,1248,1739358853685,0.3999,-3.37867,7.71715,-1.60213,-0.3662,3.67726
Abj,1249,1739358853694,0.54855,-0.59282,11.55973,-1.72419,-12.51184,3.61623
Abj,1250,1739358853712,-0.28744,-1.11266,11.86631,-5.81343,6.28644,3.55519
Abj,1251,1739358853727,0.26351,-2.94287,9.17139,-5.01999,4.0282,4.59276
Abj,1252,1739358853743,0.26351,-2.94287,9.17139,3.34158,11.3522,3.73829
Abj,1253,1739358853761,0.33529,-2.71765,8.534,1.32748,0.85447,4.10449
Abj,1254,1739358853779,-0.53659,-2.73201,9.43968,5.72188,13.79354,3.61623
Abj,1255,1739358853797,0.47438,-4.89033,9.57129,12.73308,-6.10334,4.95896
Abj,1256,1739358853811,-0.18694,-1.54128,9.6335,13.28238,5.3099,6.05756
Abj,1257,1739358853828,-0.00479,0.21446,9.20489,0.47301,-0.24413,2.94486
Abj,1258,1739358853852,-0.08166,-0.45374,8.99402,-5.01999,2.3803,2.94486
Abj,1259,1739358853871,0.37119,-0.31496,11.96441,-16.31116,-0.12207,2.94486
Abj,1260,1739358853884,0.55573,-2.42782,10.81466,-15.15153,6.5916,4.59276
Abj,1261,1739358853896,0.55573,-2.42782,10.81466,-8.01063,21.10991,3.61623
Abj,1262,1739358853919,-0.21087,-4.53111,8.38804,-3.67726,6.71367,3.06693
Abj,1263,1739358853937,0.28026,-1.91516,8.96531,-3.43313,7.324,5.01999
Abj,1264,1739358853951,0.21565,-2.20977,10.31157,-3.92139,9.03294,2.09039
Abj,1265,1739358853961,0.21565,-2.20977,10.31157,-2.76176,1.40377,3.43313
Abj,1266,1739358853978,-0.10319,-3.39302,9.72234,6.69841,6.16437,4.71483
Abj,1267,1739358853996,-0.24915,-3.56082,8.04557,-5.26413,-2.5634,-0.04578
Abj,1268,1739358854014,0,-0.70289,12.24706,-0.07629,-22.69678,2.82279
Abj,1269,1739358854030,-0.01675,-1.73061,7.94238,-2.70073,3.41787,0.68663
Abj,1270,1739358854047,-0.10319,-0.9329,8.75205,-9.10923,-8.48364,1.11386
Abj,1271,1739358854064,-0.10319,-0.9329,8.75205,-2.09039,2.31927,1.29696
Abj,1272,1739358854081,0.22044,-2.77986,11.14517,-1.17489,0.48827,1.54109
Abj,1273,1739358854097,0.50548,-4.88555,11.38954,6.75181,1.0986,1.66316
Abj,1274,1739358854119,-0.5653,-1.47906,9.45404,-1.78523,3.2958,-0.41198
Abj,1275,1739358854138,0.20608,0.01795,9.7678,-6.91203,5.98127,0.19836
Abj,1276,1739358854154,-0.06969,-2.31506,7.94716,-3.49416,5.43197,-0.47301
Abj,1277,1739358854169,-0.21087,-3.96551,8.29921,1.93781,6.34747,-0.41198
Abj,1278,1739358854183,-0.21087,-3.96551,8.29921,-1.41903,4.88267,-1.44954
Abj,1279,1739358854195,0.37597,-1.43839,8.96052,-2.21246,10.13154,-1.44954
Abj,1280,1739358854213,-0.72353,-3.0338,8.7688,3.03641,-1.58687,-1.57161
Abj,1281,1739358854232,0.8001,-3.08884,8.94377,4.80638,-8.0564,-1.81574
Abj,1282,1739358854249,-0.17976,0.23838,9.14268,-0.99179,-6.7747,-2.18194
Abj,1283,1739358854265,-0.17976,0.23838,9.14268,-8.55993,-6.46954,-1.69368
Abj,1284,1739358854281,-0.18215,1.21825,10.78834,-10.75713,-4.08923,-2.30401
Abj,1285,1739358854302,0.85992,-4.56939,10.302,1.93781,7.81227,-2.85331
Abj,1286,1739358854319,-0.63978,-4.57418,8.63959,5.17258,5.00474,-3.82984
Abj,1287,1739358854337,0.69452,-4.15244,10.65165,9.19315,-6.2254,-1.87678
Abj,1288,1739358854355,-0.00239,-3.01226,8.71855,8.88798,5.00474,-3.28054
Abj,1289,1739358854374,0.58684,0.35115,11.59801,1.51058,-15.86867,-1.08334
Abj,1290,1739358854381,0.58684,0.35115,11.59801,4.62328,0.85447,-2.24298
Abj,1291,1739358854395,0.29701,-2.09701,10.99681,-1.17489,3.8451,0.01526
Abj,1292,1739358854415,0.29701,-4.10937,9.53779,3.70778,-2.3803,-1.93781
Abj,1293,1739358854432,0.09811,-1.35703,10.05763,8.82695,-1.831,-0.28991
Abj,1294,1739358854449,0.12682,-1.17248,9.5354,2.42608,7.5071,-1.20541
Abj,1295,1739358854465,0.12682,-1.17248,9.5354,-7.94959,-5.98127,1.48006
Abj,1296,1739358854481,0.6347,-1.02622,10.8673,0.35094,-4.2113,2.45659
Abj,1297,1739358854505,-0.55813,-5.24238,9.21207,16.15095,0.9155,1.29696
Abj,1298,1739358854523,-0.12473,-4.04716,9.2001,1.69368,-16.35694,-0.96128
Abj,1299,1739358854538,0.41904,1.05045,13.54068,2.18194,-11.96254,-0.41198
Abj,1300,1739358854548,0.45733,-2.51874,6.74238,5.66084,-15.56351,-3.46364
Abj,1301,1739358854565,0.45733,-2.51874,6.74238,21.88809,-6.71367,-1.14438
Abj,1302,1739358854578,0.62991,-3.76212,5.31446,3.58571,42.53262,0.01526
Abj,1303,1739358854596,0.21087,1.57268,11.4015,0.41198,-17.21141,0.56456
Abj,1304,1739358854619,-0.4337,-1.78325,8.74487,-3.12796,7.20194,3.92139
Abj,1305,1739358854632,0.58205,-4.49492,12.36461,-6.66789,-9.09397,2.45659
Abj,1306,1739358854649,-0.66132,-2.50678,10.91516,9.19315,-9.09397,-1.81574
Abj,1307,1739358854665,-0.66132,-2.50678,10.91516,-3.12796,8.7888,1.84626
Abj,1308,1739358854686,0.5988,-0.8013,8.58216,-4.89793,13.0001,5.44723
Abj,1309,1739358854712,-0.40977,-4.72493,9.7008,-5.81343,30.02078,8.01063
Abj,1310,1739358854723,-0.40977,-4.72493,9.7008,1.81574,9.82637,3.61623
Abj,1311,1739358854730,-0.38584,-4.08784,9.15464,2.24298,10.92497,4.28759
Abj,1312,1739358854753,-0.68764,-1.23709,11.00399,1.99884,-1.95307,4.65379
Abj,1313,1739358854767,-0.68764,-1.23709,11.00399,3.89088,-1.95307,2.09039
Abj,1314,1739358854788,0.23719,-2.48764,10.51765,3.03641,3.23477,2.51763
Abj,1315,1739358854799,0.23719,-2.48764,10.51765,4.19604,7.26297,2.76176
Abj,1316,1739358854815,-0.5342,0.36072,13.2341,-5.01999,-6.83574,1.54109
Abj,1317,1739358854826,-0.5342,0.36072,13.2341,-5.99653,-10.0705,1.23593
Abj,1318,1739358854845,-0.57727,-1.41446,9.26471,-4.22656,6.46954,-0.10681
Abj,1319,1739358854855,0.74028,-2.62642,9.22164,-5.38619,15.31174,-0.35094
Abj,1320,1739358854873,-0.46002,-2.39432,11.19063,-6.85099,-1.95307,0.74766
